STS/STS1.epd
58, 2426
59, 3844
60, 2952
61, 1932
62, 2493
63, 2355
64, 943
65, 789
66, 980
67, 663
68, 2415
69, 1411
70, 1825
71, 213
72, 2493
73, 1700
74, 2001
75, 1551
76, 1745
77, 1257
78, 1410
79, 896
80, 1429
81, 2036
82, 2063
83, 1226
84, 636
85, 2339
86, 1204
87, 1736
88, 1495
89, 743
90, 1393
91, 1747
92, 1197
93, 4119
94, 2296
95, 559
96, 1406
97, 3008
98, 2010
99, 1450
>>(Avg Hits): (1876)
STS/STS6.epd
0, 1508
1, 2071
2, 2064
3, 3139
4, 2064
5, 1901
6, 878
7, 1743
8, 620
9, 2856
10, 894
11, 2034
12, 1025
13, 1304
14, 1488
15, 2619
16, 1956
17, 1170
18, 1225
19, 2609
20, 2569
21, 2547
22, 1572
23, 1486
24, 1895
25, 716
26, 2042
27, 2095
28, 2106
29, 1360
30, 3343
31, 1270
32, 1492
33, 1273
34, 1164
35, 2306
36, 2274
37, 2738
38, 826
39, 1901
40, 1436
41, 1589
42, 1813
43, 1662
44, 1604
45, 1198
46, 1851
47, 3437
48, 2439
49, 1455
50, 1665
51, 812
52, 1350
53, 6024
54, 747
55, 1974
56, 2166
57, 3162
58, 3805
59, 967
60, 851
61, 3392
62, 1797
63, 1982
64, 1488
65, 1774
66, 1424
67, 2672
68, 2050
69, 1559
70, 1786
71, 2294
72, 823
73, 3116
74, 2911
75, 2314
76, 2456
77, 2194
78, 1768
79, 1744
80, 2166
81, 1477
82, 1323
83, 2670
84, 731
85, 3775
86, 1251
87, 2333
88, 2367
89, 3883
90, 1178
91, 1414
92, 1428
93, 2027
94, 1950
95, 1903
96, 1621
97, 669
98, 1089
99, 1094
>>(Avg Hits): (1900)
STS/STS7.epd
0, 1692
1, 1277
2, 1775
3, 684
4, 960
5, 496
6, 2905
7, 2536
8, 1790
9, 1836
10, 1482
11, 2457
12, 2311
13, 2158
14, 1582
15, 1066
16, 1163
17, 2035
18, 1794
19, 1573
20, 2657
21, 1438
22, 904
23, 1352
24, 2985
25, 1703
26, 1184
27, 1481
28, 2374
29, 2635
30, 1339
31, 2736
32, 3076
33, 905
34, 1556
35, 1803
36, 3210
37, 2382
38, 807
39, 2065
