STS/STS1.epd
87, 2396, 699
88, 1510, 305
89, 1647, 107
90, 3627, 353
91, 1771, 503
92, 1487, 446
93, 1415, 135
94, 2696, 217
95, 1394, 119
96, 2198, 933
97, 4260, 2223
98, 1987, 251
99, 2870, 1455
>>(Avg Hits): (3205, 1235)
STS/STS4.epd
0, 2781, 908
1, 4857, 3051
2, 5307, 1669
3, 3732, 418
4, 4339, 1914
5, 4706, 2278
6, 5500, 2515
7, 6990, 2689
8, 1417, 609
9, 1197, 166
10, 2371, 365
11, 2068, 347
12, 7389, 4837
13, 5998, 2698
14, 7897, 3673
15, 3368, 414
16, 4609, 1880
17, 2138, 485
18, 1479, 517
19, 2960, 482
20, 6085, 2378
21, 4707, 540
22, 1489, 176
23, 2957, 372
24, 3267, 1292
25, 8604, 4114
26, 2636, 998
27, 2331, 332
28, 2380, 53
29, 3782, 234
30, 4081, 371
31, 1577, 329
32, 5460, 2152
33, 5257, 1943
34, 2606, 1311
35, 4314, 2139
36, 4090, 192
37, 2301, 257
38, 2316, 933
39, 4485, 2540
40, 3167, 154
41, 4923, 3266
42, 2764, 1487
43, 5499, 2843
44, 4855, 2566
45, 5961, 2952
46, 3675, 1822
47, 4198, 300
48, 1272, 294
49, 2861, 703
50, 2541, 211
51, 5946, 2653
52, 1955, 341
53, 3063, 162
54, 4545, 1574
55, 3236, 1407
56, 1666, 385
57, 1982, 794
58, 5377, 2210
59, 6668, 3328
60, 5087, 2773
61, 3253, 1652
62, 3587, 2005
63, 2721, 760
64, 2365, 220
65, 4571, 1845
66, 4361, 1890
67, 3185, 598
68, 4723, 1601
69, 2557, 1142
70, 7188, 2426
71, 3244, 115
72, 4396, 2400
73, 5111, 1359
74, 2736, 738
75, 2643, 257
76, 7070, 3625
77, 4336, 1395
78, 2108, 594
79, 5910, 2772
80, 3063, 1489
81, 3441, 1399
82, 6110, 3028
83, 2537, 470
84, 3123, 181
85, 4548, 2164
86, 3462, 526
87, 2646, 224
88, 4009, 2281
89, 3390, 459
90, 4682, 2046
91, 4185, 456
92, 3508, 1877
93, 2306, 388
94, 3967, 1866
95, 2558, 170
96, 1797, 812
97, 1884, 731
98, 3898, 257
99, 4184, 1577
>>(Avg Hits): (3824, 1365)
STS/STS5.epd
0, 1588, 117
1, 1884, 587
2, 2047, 289
3, 4605, 3134
4, 4922, 2322
5, 2452, 1167
6, 4022, 2100
7, 2407, 1186
8, 6809, 4580
9, 1325, 219
10, 3616, 1655
11, 4106, 1968
12, 5214, 3585
13, 4094, 2838
14, 3189, 457
15, 2050, 99
16, 2951, 736
17, 2254, 312
18, 5484, 3230
19, 3000, 1087
20, 1673, 256
21, 1412, 278
22, 2429, 1059
23, 1538, 143
24, 1541, 168
25, 2056, 172
26, 4515, 3034
27, 4518, 1849
28, 4052, 1203
29, 2582, 385
30, 1508, 548
31, 4432, 2579
32, 2101, 166
33, 2808, 276
34, 1624, 262
35, 1455, 172
36, 3319, 2395
37, 1113, 135
38, 1926, 325
39, 3800, 1583
40, 4054, 2481
41, 1308, 57
42, 3014, 252
43, 2431, 222
44, 1412, 315
45, 3593, 1786
46, 2706, 942
47, 2162, 1203
48, 2193, 1033
49, 7081, 3711
50, 4853, 3279
51, 4656, 1022
52, 4967, 3208
53, 6165, 2211
54, 2154, 135
55, 2981, 860
56, 3797, 1273
57, 4958, 3135
58, 1966, 587
59, 5203, 1264
60, 1268, 239
61, 4949, 1436
62, 5271, 1436
63, 3429, 1361
64, 2616, 818
65, 1176, 145
66, 2289, 1318
67, 2261, 1171
68, 2712, 1103
69, 5356, 3331
70, 860, 217
71, 2715, 437
72, 1219, 146
73, 2620, 74
74, 1217, 242
75, 5170, 3217
76, 1877, 910
77, 997, 133
78, 2764, 691
79, 3893, 2539
80, 5168, 2592
81, 1277, 74
82, 4292, 2287
83, 2278, 1103
84, 1690, 91
85, 2145, 72
86, 1867, 505
87, 6065, 4543
88, 5223, 3684
89, 1269, 236
90, 6792, 4293
91, 1954, 460
92, 1921, 258
93, 3158, 1659
94, 1154, 203
95, 3541, 240
96, 2636, 1349
97, 1483, 151
98, 2495, 758
99, 7039, 5387
>>(Avg Hits): (3081, 1285)
STS/STS6.epd
0, 2493, 732
1, 4852, 2402
2, 2698, 1351
3, 5512, 508
4, 1424, 214
5, 2442, 230
6, 4504, 2657
7, 5875, 3608
8, 2768, 798
9, 5928, 2955
10, 3140, 138
11, 5193, 3005
12, 1424, 116
13, 1206, 190
14, 1715, 194
15, 4276, 1819
16, 2633, 1512
17, 1781, 601
18, 2588, 965
19, 2822, 744
20, 2936, 789
21, 2519, 1028
22, 4674, 2332
23, 4553, 2932
24, 1607, 369
25, 2177, 158
26, 5580, 3117
27, 5158, 2714
28, 5439, 3405
29, 4061, 2372
30, 2409, 510
31, 3113, 323
32, 3314, 2020
33, 5678, 3497
34, 5492, 3416
35, 1932, 188
36, 2355, 841
37, 2571, 1181
38, 5652, 3190
39, 2416, 897
40, 3901, 2055
41, 5631, 3545
42, 5022, 2968
43, 5206, 2857
44, 4958, 2681
45, 1185, 301
46, 877, 288
47, 3943, 702
48, 3528, 852
49, 1593, 215
50, 5968, 3959
51, 4340, 2410
52, 2998, 1635
53, 7705, 2047
54, 2696, 164
55, 5050, 2949
56, 2843, 543
57, 2873, 28
58, 3744, 112
59, 1260, 294
60, 1651, 531
61, 1348, 307
62, 4964, 2448
63, 5420, 3299
